id,order_id,customer_id,channel_id,store_id,product_id,order_date_id,quantity,unit_price,discount_amount,line_total
5000000000,1000000000,356,1,-1,2,571,2,15000.0,0.0,30000.0
5000000001,1000000000,356,1,-1,1,571,2,12000.0,2400.0,21600.0
5000000002,1000000001,601,1,-1,1,271,1,12000.0,240.0,11760.0
5000000003,1000000001,601,1,-1,2,271,2,15000.0,600.0,29400.0
5000000004,1000000001,601,1,-1,1,271,2,12600.0,2520.0,22680.0
5000000005,1000000002,1234,1,-1,1,663,1,12000.0,240.0,11760.0
5000000006,1000000002,1234,1,-1,2,663,1,15000.0,1500.0,13500.0
5000000007,1000000003,156,1,-1,1,666,1,12000.0,1200.0,10800.0
5000000008,1000000003,156,1,-1,2,666,1,15000.0,300.0,14700.0
5000000009,1000000004,616,2,4,2,330,2,15750.0,1575.0,29925.0
5000000010,1000000004,616,2,4,2,330,1,15000.0,750.0,14250.0
5000000011,1000000005,614,2,2,1,312,2,12000.0,0.0,24000.0
5000000012,1000000006,188,1,-1,2,802,1,15000.0,750.0,14250.0
5000000013,1000000007,17,1,-1,2,556,1,15000.0,1500.0,13500.0
5000000014,1000000008,1148,1,-1,1,478,3,12000.0,0.0,36000.0
5000000015,1000000008,1148,1,-1,2,478,3,15000.0,4500.0,40500.0
5000000016,1000000008,1148,1,-1,1,478,1,12600.0,0.0,12600.0
5000000017,1000000009,1037,1,-1,2,330,1,13500.0,675.0,12825.0
5000000018,1000000010,1336,2,1,2,313,1,15000.0,300.0,14700.0
5000000019,1000000011,1239,2,4,2,774,1,15000.0,300.0,14700.0
5000000020,1000000011,1239,2,4,1,774,2,10800.0,2160.0,19440.0
5000000021,1000000012,1426,2,3,1,462,3,12000.0,720.0,35280.0
5000000022,1000000013,862,2,1,2,688,3,15750.0,2362.5,44887.5
5000000023,1000000013,862,2,1,1,688,3,12000.0,1800.0,34200.0
5000000024,1000000013,862,2,1,1,688,2,12000.0,1200.0,22800.0
5000000025,1000000014,181,1,-1,1,836,1,12000.0,240.0,11760.0
5000000026,1000000015,700,1,-1,1,499,2,12000.0,480.0,23520.0
5000000027,1000000016,475,1,-1,1,845,2,12600.0,2520.0,22680.0
5000000028,1000000017,753,2,2,2,656,2,15750.0,630.0,30870.0
5000000029,1000000017,753,2,2,1,656,3,12000.0,0.0,36000.0
5000000030,1000000018,1151,1,-1,2,436,1,13500.0,270.0,13230.0
5000000031,1000000018,1151,1,-1,1,436,2,13200.0,2640.0,23760.0
5000000032,1000000018,1151,1,-1,2,436,3,15000.0,0.0,45000.0
5000000033,1000000019,793,1,-1,1,717,3,12600.0,756.0,37044.0
5000000034,1000000020,866,1,-1,2,367,3,16500.0,0.0,49500.0
5000000035,1000000021,1110,1,-1,1,872,2,12000.0,480.0,23520.0
5000000036,1000000022,854,2,1,1,331,2,12000.0,0.0,24000.0
5000000037,1000000023,379,2,3,2,792,2,15000.0,600.0,29400.0
5000000038,1000000023,379,2,3,1,792,1,12000.0,0.0,12000.0
5000000039,1000000023,379,2,3,2,792,2,15000.0,3000.0,27000.0
5000000040,1000000024,441,2,2,1,667,1,12000.0,240.0,11760.0
5000000041,1000000025,125,1,-1,2,844,3,15750.0,2362.5,44887.5
5000000042,1000000025,125,1,-1,1,844,2,12600.0,0.0,25200.0
5000000043,1000000026,1201,1,-1,2,587,1,15000.0,1500.0,13500.0
5000000044,1000000027,1055,1,-1,1,577,2,12000.0,1200.0,22800.0
5000000045,1000000028,382,1,-1,1,378,1,12000.0,0.0,12000.0
5000000046,1000000029,1456,1,-1,2,863,2,16500.0,660.0,32340.0
5000000047,1000000029,1456,1,-1,1,863,3,12000.0,3600.0,32400.0
5000000048,1000000030,1377,2,4,1,766,3,12000.0,1800.0,34200.0
5000000049,1000000031,1375,2,4,1,736,2,12000.0,480.0,23520.0
5000000050,1000000032,821,1,-1,2,680,2,15000.0,3000.0,27000.0
5000000051,1000000033,1475,2,4,2,400,1,15000.0,300.0,14700.0
5000000052,1000000034,634,2,2,2,562,3,15750.0,2362.5,44887.5
5000000053,1000000034,634,2,2,2,562,3,15000.0,4500.0,40500.0
5000000054,1000000035,585,2,1,1,252,2,12000.0,2400.0,21600.0
5000000055,1000000036,180,1,-1,1,508,2,12000.0,1200.0,22800.0
5000000056,1000000036,180,1,-1,2,508,2,15000.0,3000.0,27000.0
5000000057,1000000037,482,1,-1,1,266,2,12600.0,504.0,24696.0
5000000058,1000000038,620,2,1,1,273,1,12000.0,240.0,11760.0
5000000059,1000000039,603,2,1,1,384,3,10800.0,3240.0,29160.0
5000000060,1000000039,603,2,1,2,384,2,15000.0,0.0,30000.0
5000000061,1000000040,1028,1,-1,1,304,1,12000.0,600.0,11400.0
5000000062,1000000041,1005,2,3,2,254,1,15000.0,750.0,14250.0
5000000063,1000000041,1005,2,3,1,254,1,10800.0,540.0,10260.0
5000000064,1000000042,790,1,-1,1,511,1,10800.0,540.0,10260.0
5000000065,1000000043,665,1,-1,1,382,3,13200.0,0.0,39600.0
5000000066,1000000044,562,1,-1,2,851,2,15000.0,600.0,29400.0
5000000067,1000000044,562,1,-1,2,851,3,15000.0,900.0,44100.0
5000000068,1000000045,998,1,-1,1,272,3,12000.0,0.0,36000.0
5000000069,1000000046,276,1,-1,2,252,2,16500.0,0.0,33000.0
5000000070,1000000047,1469,2,2,1,308,1,12000.0,1200.0,10800.0
5000000071,1000000048,408,2,2,1,497,2,12000.0,480.0,23520.0
5000000072,1000000049,1360,2,2,2,464,3,13500.0,0.0,40500.0
5000000073,1000000050,1423,1,-1,2,447,2,15000.0,1500.0,28500.0
5000000074,1000000051,741,1,-1,2,499,2,15750.0,630.0,30870.0
5000000075,1000000052,969,1,-1,1,549,3,12000.0,720.0,35280.0
5000000076,1000000052,969,1,-1,1,549,3,12000.0,720.0,35280.0
5000000077,1000000053,729,1,-1,2,463,2,15000.0,3000.0,27000.0
5000000078,1000000054,251,2,4,1,316,1,12600.0,252.0,12348.0
5000000079,1000000055,1087,2,1,2,810,3,15000.0,2250.0,42750.0
5000000080,1000000056,659,1,-1,1,708,2,12000.0,0.0,24000.0
5000000081,1000000056,659,1,-1,2,708,3,16500.0,2475.0,47025.0
5000000082,1000000057,338,2,4,2,658,1,15000.0,750.0,14250.0
5000000083,1000000057,338,2,4,2,658,1,15750.0,1575.0,14175.0
5000000084,1000000058,1068,1,-1,2,505,1,16500.0,1650.0,14850.0
5000000085,1000000058,1068,1,-1,2,505,2,15000.0,1500.0,28500.0
5000000086,1000000059,958,1,-1,1,423,3,12000.0,1800.0,34200.0
5000000087,1000000059,958,1,-1,2,423,2,15000.0,0.0,30000.0
5000000088,1000000060,428,2,4,1,296,3,10800.0,3240.0,29160.0
5000000089,1000000061,1337,1,-1,1,666,1,12000.0,0.0,12000.0
5000000090,1000000062,1442,2,3,2,598,3,15000.0,0.0,45000.0
5000000091,1000000063,939,1,-1,1,391,3,12600.0,756.0,37044.0
5000000092,1000000064,1409,1,-1,2,669,1,16500.0,1650.0,14850.0
5000000093,1000000065,1062,1,-1,1,501,3,12000.0,720.0,35280.0
5000000094,1000000066,988,1,-1,1,266,3,12000.0,720.0,35280.0
5000000095,1000000067,778,1,-1,2,707,1,15000.0,300.0,14700.0
5000000096,1000000068,77,1,-1,2,576,1,15750.0,315.0,15435.0
5000000097,1000000068,77,1,-1,1,576,2,12000.0,0.0,24000.0
5000000098,1000000068,77,1,-1,2,576,3,15000.0,0.0,45000.0
5000000099,1000000069,700,1,-1,2,404,3,15000.0,900.0,44100.0
5000000100,1000000070,425,1,-1,1,812,1,12000.0,0.0,12000.0
5000000101,1000000071,1271,2,3,1,444,1,12000.0,240.0,11760.0
5000000102,1000000072,1129,1,-1,2,273,1,13500.0,675.0,12825.0
5000000103,1000000073,1224,1,-1,2,582,1,15750.0,315.0,15435.0
5000000104,1000000074,446,1,-1,1,589,2,12600.0,1260.0,23940.0
5000000105,1000000074,446,1,-1,1,589,3,12000.0,3600.0,32400.0
5000000106,1000000075,867,1,-1,2,687,2,15000.0,600.0,29400.0
